Date,Team1,Team2,Venue,Winner
11/01/2026,India,New Zealand,Kotambi Stadium,India
14/01/2026,India,New Zealand,Saurashtra Cricket Association Stadium,New Zealand
18/01/2026,India,New Zealand,Holkar Cricket Stadium,New Zealand
22/01/2026,Sri Lanka,England,R Premadasa Stadium,Sri Lanka
24/01/2026,Sri Lanka,England,R Premadasa Stadium,England
27/01/2026,Sri Lanka,England,R Premadasa Stadium,England
11/03/2026,Bangladesh,Pakistan,Shere Bangla National Stadium,Bangladesh
13/03/2026,Bangladesh,Pakistan,Shere Bangla National Stadium,Pakistan
15/03/2026,Bangladesh,Pakistan,Shere Bangla National Stadium,Bangladesh
02/04/2026,ICC World Cup League 2 (OMA,SCO),Wanderers Cricket Ground,No Result
